,n_track,set_name,song_id,tempo,energy,danceability,dj,m_energy,m_danceability,m_tempo,d_energy,d_danceability,d_tempo,grupo_set,tempo_media_g,energy_media_g,danceability_media_g,d_energy_grupo,d_danceability_grupo,d_tempo_grupo
417,16,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",1aRrJewQmqU3wMUf86VVc6,0.4207650273224044,0.589,0.685,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.08299999999999985,0.0001785714285712503,0.09758001561280238,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,0.1190714285714285,0.00642857142857145,0.10304449648711944
418,19,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",6G699QfN1BWYWXfiblH51F,0.36065573770491804,0.911,0.742,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.2390000000000002,-0.05682142857142869,0.15768930523028873,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,-0.20292857142857157,-0.05057142857142849,0.1631537861046058
419,20,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",6G699QfN1BWYWXfiblH51F,0.36065573770491804,0.911,0.742,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.2390000000000002,-0.05682142857142869,0.15768930523028873,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,-0.20292857142857157,-0.05057142857142849,0.1631537861046058
420,22,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",1BvjLMKLM1oUCnOQIJLurJ,0.5300546448087432,0.4,0.901,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.2719999999999998,-0.21582142857142872,-0.011709601873536424,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,0.30807142857142844,-0.20957142857142852,-0.006245120999219367
421,24,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",6G699QfN1BWYWXfiblH51F,0.36065573770491804,0.911,0.742,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.2390000000000002,-0.05682142857142869,0.15768930523028873,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,-0.20292857142857157,-0.05057142857142849,0.1631537861046058
422,25,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",7ldfz2uZ1WRwBk1k3cPQUj,0.5300546448087432,0.833,0.662,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.16100000000000014,0.02317857142857127,-0.011709601873536424,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,-0.1249285714285715,0.02942857142857147,-0.006245120999219367
423,27,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",2VqjCBJ4AxpDTrNRKhL0Pw,0.4098360655737705,0.487,0.867,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.18499999999999983,-0.1818214285714287,0.10850897736143628,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,0.22107142857142847,-0.1755714285714285,0.11397345823575333
424,28,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",1vjzmLV5FuAKe6Nq3pD9Tx,0.5737704918032787,0.641,0.923,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.030999999999999805,-0.23782142857142874,-0.05542544886807188,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,0.06707142857142845,-0.23157142857142854,-0.04996096799375482
425,29,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",2VjAxmGdalbuhpCazPEQIY,0.6065573770491803,0.917,0.665,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.24500000000000022,0.020178571428571268,-0.08821233411397356,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,-0.20892857142857157,0.026428571428571468,-0.0827478532396565
426,16,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",4QM03Jgj9V8EdBtbh393la,0.639344262295082,0.896,0.669,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.2240000000000002,0.016178571428571265,-0.12099921935987523,2,0.5238095238095238,0.7080714285714285,0.6914285714285715,-0.18792857142857156,0.022428571428571464,-0.11553473848555817
